1;0.997766;4515061;2
6;0.997237;9589496;5
4;0.998427;1007720;4
4;0.997778;1929086;2
4;0.996420;8977566;1
10;0.995582;6860014;2
10;0.995332;7243839;5
5;0.999947;5143952;4
9;0.999478;6258104;7
7;0.392402;3749189;4
10;0.998229;7573296;3
6;0.999905;4723574;3
6;0.997624;1588896;7
8;0.999629;2193204;7
4;0.998399;9484140;5
2;0.999280;5905061;5
3;0.996543;8879242;1
11;0.996199;1780789;4
3;0.998960;9002999;6
2;0.633592;7760611;5
3;0.996233;2422341;5
3;0.999130;8422541;6
5;0.997387;4377740;7
8;0.996903;3446297;4
6;0.999973;1805563;2
1;0.999436;1537691;2
2;0.995383;3225928;7
10;0.996098;1620997;7
9;0.691105;7710146;5
8;0.996965;8311193;7
7;0.996567;2679484;5
8;0.995225;4336904;4
2;0.996452;5397302;7
8;0.997358;6754025;7
1;0.999609;8101313;4
2;0.996435;6938396;5
3;0.997220;4421662;2
3;0.995394;9449301;4
11;0.996592;6960666;7
11;0.995340;2566805;2
5;0.999079;2720416;6
6;0.997697;7142198;6
2;0.999109;8484192;3
2;0.998361;3280632;3
9;0.998978;6521248;4
7;0.997375;3911722;5
7;0.997613;6243247;2
10;0.999271;3186940;1
8;0.995711;2893913;2
5;0.996122;2349526;4
4;0.998958;3492740;2
7;0.995860;6208822;1
8;0.996587;7955952;4
4;0.998305;8010617;1
1;0.995534;9570374;4
1;0.999649;1830428;2
3;0.999668;3450822;3
7;0.999475;2034941;2
3;0.998963;6695654;6
6;0.997096;6736336;3
10;0.998017;8466753;3
5;0.999629;6112208;4
8;0.998183;2496513;1
3;0.998081;1660999;6
0;0.998880;8882540;7
2;0.995626;6473739;3
8;0.998514;1930629;1
7;0.996262;5946118;3
11;0.748984;6691633;4
8;0.998431;2705954;1
5;0.995247;3374759;2
4;0.998304;9118968;2
5;0.995834;1605708;4
2;0.998813;7876285;7
3;0.997226;9504451;2
0;0.999513;4776427;6
3;0.998886;1950890;6
5;0.999252;3517151;4
2;0.998818;7765806;3
10;0.996322;7965904;5
5;0.997687;2563594;2
10;0.998728;1721452;2
6;0.995729;2840226;3
6;0.995136;4818317;1
2;0.996252;8255510;7
10;0.997382;3898971;6
8;0.996153;4050194;3
9;0.999910;7925503;5
5;0.997785;8165757;6
9;0.997009;3173937;4
5;0.999423;9120460;3
6;0.996532;2357186;3
0;0.995749;5698638;2
10;0.997356;7453220;4
9;0.999664;7320256;1
10;0.999030;5334081;1
7;0.998222;6906366;4
5;0.995252;5172389;2
3;0.996167;9813800;3
6;0.996720;4150298;6
1;0.340313;8384104;7
4;0.956997;8975477;7
7;0.998861;3241421;3
8;0.995758;6050776;7
5;0.996160;7006096;2
0;0.995588;9643536;4
3;0.997207;2145884;3
0;0.999322;9387912;1
1;0.996616;7460107;4
2;0.998449;3662219;4
6;0.996166;2080561;6
11;0.996182;8778717;2
9;0.997180;8934479;4
8;0.996903;3482053;4
9;0.995914;1549972;5
5;0.997962;3807514;5
5;0.996675;5455446;6
3;0.998294;1729816;4
2;0.999083;7844474;2
2;0.995533;3795185;4
5;0.995113;6506672;4
9;0.997432;8649397;7
9;0.995301;6458526;5
9;0.995327;8716664;4
8;0.999855;5992730;7
2;0.996262;5596314;2
11;0.999308;8011123;3
4;0.995821;9206138;5
8;0.998366;9306630;6
9;0.999014;5635273;2
9;0.997937;8834367;3
2;0.998800;2244363;5
7;0.999026;9728350;5
5;0.996797;1311125;1
10;0.995434;2085541;6
0;0.999197;7488473;2
10;0.999925;2805093;5
0;0.999856;7379773;1
9;0.996179;7458110;3
2;0.996751;9394920;4
9;0.995409;9232037;5
7;0.995578;3056878;3
0;0.999787;9556152;2
0;0.996543;5485081;6
9;0.860896;8956425;3
4;0.999212;4790035;6
3;0.996026;4695346;3
1;0.998564;9744813;5
4;0.999201;4359716;3
0;0.995979;1719854;5
2;0.998931;5497144;3
11;0.962324;9650201;2
3;0.995255;5408812;3
10;0.995210;2351008;4
2;0.997417;5283921;7
6;0.996331;9558196;5
2;0.999726;9141721;7
11;0.998884;1093959;3
6;0.999036;9638169;2
11;0.999857;1155360;3
